"Materials Table.  Posted Version 12.7, 8-Feb-2012",,,,,,,,,Added cost calculation,,,,
Material ID,Material,Supplier,Category,Table Price,Unit 1,Unit 2,C1,C2,Size1,Size2,Calc Value,Modified,Comments
149,"Master Cylinder, Wilwood, 260-5520",Wilwood,Brake System, $39.40 ,unit,,,,,,,24-Feb-09,
150,"Master Cylinder, Wilwood, 260-6087",Wilwood,Brake System, $26.00 ,unit,,,,,,,20-Mar-10,
151,"Master Cylinder, Wilwood, 260-10371",Wilwood,Brake System, $43.00 ,unit,,,,,,,1-Mar-10,
152,"Proportioning Valve, Hydraulic",Any,Brake System, $35.00 ,unit,,,,,,,,
153,"Proportioning Valve, Tilton, 90-1000",Tilton,Brake System, $49.50 ,unit,,,,,,,,
154,"Proportioning Valve, Tilton, 90-1003",Tilton,Brake System, $49.50 ,unit,,,,,,,,
155,"Proportioning Valve, Tilton, 90-2000",Tilton,Brake System, $49.50 ,unit,,,,,,,,
156,"Proportioning Valve, Tilton, 90-2003",Tilton,Brake System, $49.50 ,unit,,,,,,,,
157,"Remote Brake Bias Adjuster, Tilton 72-408 ",Tilton,Brake System, $97.50 ,unit,,,,,,,14-Mar-09,
158,"Remote Brake Bias Adjuster, Tilton 72-501",Tilton,Brake System, $33.25 ,unit,,,,,,,,
159,"Slave Cylinder, CNC, SERIES 305",CNC,Brake System, $35.00 ,unit,,,,,,,3-Aug-09,
160,"Hydraulic Fluid Reservoir, Remote (Plastic)",Any,Brake System, $5.00 ,unit,,,,,,,22-Feb-09,Includes lid
161,Chassis (All Cost as Made),Any,Chassis, $-   ,unit,,,,,,,26-Mar-10,This item should be cost as made whether the team made it or bought it.  Please see Rule C3.12 for more information.
162,Hubs (All Cost as Made),Any,Chassis, $-   ,unit,,,,,,,26-Mar-10,This item should be cost as made whether the team made it or bought it.  Please see Rule C3.12 for more information.
163,Monocoque (All Cost as Made),Any,Chassis, $-   ,unit,,,,,,,26-Mar-10,This item should be cost as made whether the team made it or bought it.  Please see Rule C3.12 for more information.
164,Rockers (All Cost as Made),Any,Chassis, $-   ,unit,,,,,,,26-Mar-10,This item should be cost as made whether the team made it or bought it.  Please see Rule C3.12 for more information.
165,Upright (All Cost as Made),Any,Chassis, $-   ,unit,,,,,,,26-Mar-10,This item should be cost as made whether the team made it or bought it.  Please see Rule C3.12 for more information.
166,Adhesive Film,Any,Composite, $-   ,m^2,,,,,,,,Included in composite cost
167,"Aramid (Kevlar) Fiber, 1 Ply",Any,Composite, $150.00 ,kg,,,,,,,,Dry or Pre-Preg.  Both include resin.  Hand trimming allowed.
168,"Carbon Fiber, 1 Ply",Any,Composite, $200.00 ,kg,,,,,,,,Dry or Pre-Preg.  Both include resin.  Hand trimming allowed.
169,"Carbon Fiber Reinf Silicon Carbide, Brake Rotors",Any,Composite, $0.0092 ,mm^3,,,,,,,19-Apr-09,Note: actual cost is $0.0092 even though display shows $0.01 actual value is used in math.
170,"Carbon Fiber Reinf Silicon Carbide, Brake Pads",Any,Composite, $0.0012 ,mm^3,,,,,,,19-Apr-09,Note: actual cost is $0.0012 even though display shows $0.01 actual value is used in math.
171,Carbon Fiber Reinf Carbon,Any,Composite, $0.0092 ,mm^3,,,,,,,19-Apr-09,Note: actual cost is $0.0092 even though display shows $0.01 actual value is used in math.
172,"Carbon Fiber Tubes, Purchased (All Cost as Made)",Any,Composites, $-   ,unit,,,,,,,8-Mar-09,This item should be cost as made whether the team made it or bought it.  Please see Rule C3.12 for more information.
173,"Composite Tubes, Purchased (All Cost as Made)",Any,Composites, $-   ,unit,,,,,,,8-Mar-09,This item should be cost as made whether the team made it or bought it.  Please see Rule C3.12 for more information.
174,"Composite Panel Insert, Press Fit, Torlon",Torlon,Composites, $2.00 ,unit,,,,,,,22-Apr-09,Any Size
175,"Composite Panel Insert, Potted-in (NAS) Style, Torlon",Torlon,Composites, $2.00 ,unit,,,,,,,22-Apr-09,Any Size
176,"Glass Fiber, 1 Ply",Any,Composite, $100.00 ,kg,,,,,,,,e.g. S-Glass.  Dry or Pre-preg.  Both include resin.  Hand trimming allowed.
177,"Honeycomb, Aluminum",Any,Composite, $50.00 ,kg,,,,,,,,Any cell size and density.  Hand trimming allowed.
178,"Honeycomb, Cardboard",Any,Composite, $10.00 ,kg,,,,,,,1-Mar-09,Any cell size and density.  Hand trimming allowed.
179,"Honeycomb, Nomex",Any,Composite, $125.00 ,kg,,,,,,,,Any cell size and density.  Hand trimming allowed.
180,"Honeycomb, Plastic",Any,Composite, $20.00 ,kg,,,,,,,26-Mar-09,
181,"Polypropylene, High Modulus",Any,Composite, $35.00 ,kg,,,,,,,20-Apr-10,Includes 'Tegris' and 'Innegra' fibers
182,Structural Foam,Any,Composite, $125.00 ,kg,,,,,,,,Any cell size and density.  Hand trimming allowed.
183,"Chassis Cntrl Module, +Active Differential",Student Built,Control Module, $125.00 ,unit,,,,,,,2-Mar-09,"Includes circuit board and circuitry for processing necessary inputs (wheel speed, axle speed, etc) and differential control outputs.  Required Chassis Control Module, Baseline Enclosure.    Sensors and wiring harness not included."
184,"Chassis Control Module, +Active Suspension",Student Built,Control Module, $125.00 ,unit,,,,,,,2-Mar-09,"Includes circuit board and circuitry necessary inputs (damper position, velocity, etc) and damper control outputs.  Required Chassis Control Module, Baseline Enclosure.  Sensors and wiring harness not included."
185,"Chassis Control Module, +Automatic Shifter",Student Built,Control Module, $5.00 ,unit,,,,,,,2-Mar-09,"Includes circuit board and circuitry for processing sensor input from engine, output to shifter.  Required Chassis Control Module, Baseline Enclosure.  Sensors and wiring harness not included."
186,"Chassis Control Module, +Battery Charger",Student Built,Control Module, $10.00 ,unit,,,,,,,2-Mar-09,"Includes circuit board and circuitry for processing battery health input from pack and charging outputs.  Required Chassis Control Module, Baseline Enclosure.  Sensors and wiring harness not included."
187,"Chassis Control Module, +Dashboard",Student Built,Control Module, $20.00 ,unit,,,,,,,2-Mar-09,"Includes circuit board and circuitry for processing sensor inputs and dashbboard outputs.  Required Chassis Control Module, Baseline.  Sensors and wiring harness not included."
